NS Small Business,Type of Business,Received Small Business Impact Grant,Received Small Business Reopening and Support Grant,num,Impact Grant,Reopening and Support Grant
Man Bean,Restaurant with onsite dining,yes,yes,4,1,1
Manchu Wok,Restaurant with onsite dining,yes,no,4,1,0
Manchuwok,Restaurant with onsite dining,yes,yes,4,1,1
Maple Cedar Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Mappatura Bistro,Restaurant with onsite dining,yes,yes,4,1,1
Maquillaje by Andrea,Personal care service,no,yes,7,0,1
Marble Slab Creamery,Restaurant with onsite dining,yes,yes,4,1,1
Marco Hearing Health Centre,Self-regulated health professional,yes,yes,6,1,1
Marco's Grill and Pasta House,Restaurant with onsite dining,yes,yes,4,1,1
Margie's,Restaurant with onsite dining,yes,yes,4,1,1
Marie's Flowers,Small retail,no,yes,2,0,1
Marina's Hair & Electrolysis Studio,Personal care service,yes,no,7,1,0
Maritide Athletics,Fitness establishment,no,yes,0,0,1
Maritime Beauty Supply Co.,Personal care service,yes,yes,7,1,1
Maritime Chiropractic Clinic,Self-regulated health professional,yes,yes,6,1,1
Maritime Conservatory of Performing Arts,Charity,yes,yes,7,1,1
Maritime Cryotherapy & Wellness Centre,Personal care service,yes,yes,7,1,1
Maritime Dance Acadmey,Fitness establishment,yes,yes,0,1,1
Maritime Express Cider Co.,Restaurant with onsite dining,yes,yes,4,1,1
Maritime Hearing Solutions,Self-regulated health professional,yes,no,6,1,0
Maritime Inn,Restaurant with onsite dining,yes,yes,4,1,1
Maritime Inn,Restaurant with onsite dining,yes,yes,4,1,1
Maritime Painted Saltbox Fine Art Gallery,Small retail,no,yes,2,0,1
Maritime Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Maritime Sikh Society,Charity,yes,yes,7,1,1
Marley's Hair & Tattoo,Personal care service,yes,yes,7,1,1
Martha's Pizza II,Restaurant with onsite dining,no,yes,4,0,1
Martin's Grill,Restaurant with onsite dining,yes,no,4,1,0
Mary & Larry's Diner & Takeout,Restaurant with onsite dining,yes,yes,4,1,1
Mary Brown's,Restaurant with onsite dining,yes,yes,4,1,1
Mary's African Cuisine,Restaurant with onsite dining,yes,yes,4,1,1
Mary's Place Cafe II,Restaurant with onsite dining,no,yes,4,0,1
Maskine Pizza,Restaurant with onsite dining,yes,yes,4,1,1
Massage Addict,Personal care service,yes,yes,7,1,1
Masstown Movement Fitness,Fitness establishment,yes,yes,0,1,1
Masters Dental Lab,Self-regulated health professional,yes,yes,6,1,1
Maverick Studio For Men,Personal care service,no,yes,7,0,1
May Garden,Restaurant with onsite dining,yes,no,4,1,0
May Hair,Personal care service,yes,yes,7,1,1
MayGarden Licensed Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Mazel Musical Arts Society,"Live, performing arts for audience",yes,no,3,1,0
MB Holdings,Self-regulated health professional,yes,yes,6,1,1
MBBC Food,Restaurant with onsite dining,yes,yes,4,1,1
MC Food Service,Restaurant with onsite dining,yes,yes,4,1,1
McCully Chinese Medicine Clinic,Self-regulated health professional,yes,yes,6,1,1
McDonald's,Restaurant with onsite dining,yes,yes,4,1,1
McDonald's,Restaurant with onsite dining,yes,yes,4,1,1
McDonald's Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
McDougall's System Cleaners,Small retail,no,yes,2,0,1
McKay's Family Restaurant,Restaurant with onsite dining,no,yes,4,0,1
McKelvie's,Restaurant with onsite dining,yes,yes,4,1,1
McMahon's Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
ME Family Therapy,Self-regulated health professional,yes,no,6,1,0
Meander River Farm and Brewery,Drinking establishment,yes,yes,1,1,1
Meche Salon and Spa,Personal care service,yes,yes,7,1,1
Meg-Nificent Nails & Gift Boutique,Personal care service,yes,yes,7,1,1
Melvin Tan Sushi Company,Restaurant with onsite dining,yes,no,4,1,0
Memories Cafe & Eatery,Restaurant with onsite dining,yes,yes,4,1,1
Mens Den Barber Shop,Personal care service,yes,yes,7,1,1
Mental Health Foundation of Nova Scotia,Charity,yes,no,7,1,0
Meraki Hair Beautik,Personal care service,yes,yes,7,1,1
Merigomish Recreation and Social Association,"Live, performing arts for audience",no,yes,3,0,1
Mern's Place Family Diner,Restaurant with onsite dining,yes,yes,4,1,1
Metro Care and Share Society,Charity,yes,yes,7,1,1
Metro Deli Caf̩ & Grill,Small retail,no,yes,2,0,1
Mexican Tako Loko Restaurant,Restaurant with onsite dining,no,yes,4,0,1
Mexico Lindo Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Mezza Lebanese Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Mic-Mac Bar and Grill,Restaurant with onsite dining,yes,yes,4,1,1
MidEast Food Centre,Restaurant with onsite dining,yes,no,4,1,0
Midtown Boomers Tavern & Lounge,Restaurant with onsite dining,no,yes,4,0,1
Milestones Psychological Services,Self-regulated health professional,yes,yes,6,1,1
Mill Road Social Enterprises,Charity,yes,yes,7,1,1
Millenium Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Millennial Salon,Personal care service,yes,yes,7,1,1
Miller's Dairy Bar,Restaurant with onsite dining,yes,yes,4,1,1
Millstone Public House,Restaurant with onsite dining,yes,yes,4,1,1
Millstone Public House 2,Restaurant with onsite dining,yes,yes,4,1,1
Minato Sushi Japanese Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Mind Hack Room Escape,"Live, performing arts for audience",yes,yes,3,1,1
Mineville Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Ming's Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Mini-Trail Community Center Association,Charity,yes,yes,7,1,1
Mirchi Tandoor Restaurant,Restaurant with onsite dining,yes,no,4,1,0
Miss Carla's Dance Studio,Fitness establishment,yes,yes,0,1,1
Mizu All You Eat,Restaurant with onsite dining,yes,yes,4,1,1
Mizu Buffet,Restaurant with onsite dining,yes,yes,4,1,1
MJ Barbershop,Personal care service,no,yes,7,0,1
MJS Optometry Incorporated,Self-regulated health professional,yes,yes,6,1,1
MLD Clinic,Personal care service,no,yes,7,0,1
MLD Clinic,Self-regulated health professional,yes,yes,6,1,1
Mobile Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Modern Age Aesthetics & Wellness,Personal care service,yes,yes,7,1,1
Modern Mane Hair Room,Personal care service,yes,yes,7,1,1
Modern Orchid Southeast Asian Cuisine,Restaurant with onsite dining,yes,yes,4,1,1
Modo Yoga,Fitness establishment,yes,yes,0,1,1
Modo Yoga,Fitness establishment,yes,yes,0,1,1
Moe's Shake Shack,Restaurant with onsite dining,no,yes,4,0,1
Mollon Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Mommy & Me 3D/4D/HD Ultrasounds,Personal care service,yes,yes,7,1,1
Mon Repos Day Spa,Personal care service,yes,yes,7,1,1
Montana's BBQ and Bar,Restaurant with onsite dining,yes,yes,4,1,1
Montana's Cookhouse,Restaurant with onsite dining,yes,yes,4,1,1
Montana's Cookhouse,Restaurant with onsite dining,yes,yes,4,1,1
Monte's Bar & Grill,Drinking establishment,yes,yes,1,1,1
Moonlight Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Moontown Market,Restaurant with onsite dining,yes,yes,4,1,1
Morningside Health Institute,Self-regulated health professional,yes,yes,6,1,1
Morris East Pizza + Wine,Restaurant with onsite dining,yes,yes,4,1,1
Morris East Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Morris East Restaurant + Wine Bar,Restaurant with onsite dining,yes,yes,4,1,1
Mosaic Healing Arts Institute,Self-regulated health professional,yes,yes,6,1,1
Mosiac Market,Restaurant with onsite dining,yes,yes,4,1,1
Motel Transcotia,Restaurant with onsite dining,yes,yes,4,1,1
Mother Webb's Steakhouse,Restaurant with onsite dining,yes,yes,4,1,1
Mother's Pizza,Restaurant with onsite dining,yes,no,4,1,0
Motion Dance Centre,"Live, performing arts for audience",yes,yes,3,1,1
Motiv Fitness,Fitness establishment,no,yes,0,0,1
Move East Studios,Fitness establishment,yes,yes,0,1,1
Move Mobile Massage Therapy,Self-regulated health professional,yes,yes,6,1,1
MOVE Physiotherpy,Self-regulated health professional,yes,yes,6,1,1
Moxham Fitness,Fitness establishment,no,yes,0,0,1
Moxie's Bar & Grill,Restaurant with onsite dining,yes,yes,4,1,1
Moxie's Grill Bar,Restaurant with onsite dining,yes,yes,4,1,1
Moxie's Grill Bar,Restaurant with onsite dining,yes,yes,4,1,1
MP Lash & Brow,Personal care service,yes,yes,7,1,1
Mudwraps to Manicures,Personal care service,yes,yes,7,1,1
Mueller's Dental Arts Laboratory,Self-regulated health professional,yes,yes,6,1,1
Mug & Anchor Pub,Restaurant with onsite dining,yes,yes,4,1,1
Mulgrave Road Theatre Foundation,Charity,yes,yes,7,1,1
Munro Denture Clinic,Self-regulated health professional,yes,yes,6,1,1
Murphy's Fish and Chip,Restaurant with onsite dining,yes,no,4,1,0
Murphy's Karate Academy,Fitness establishment,yes,yes,0,1,1
"Murphy's on the Water, Murphy's Sailing Tours Ltd, Murphy's The Cable Wharf",Restaurant with onsite dining,yes,yes,4,1,1
MUSA & Family Designs,Small retail,no,yes,2,0,1
Musgo Convenience,Restaurant with onsite dining,yes,yes,4,1,1
Music Box Entertainment,"Live, performing arts for audience",yes,yes,3,1,1
Music To Your Nails,Personal care service,yes,no,7,1,0
My Pretty Nails,Personal care service,yes,yes,7,1,1
My Style,Personal care service,yes,yes,7,1,1
Myer's Tearoom,Restaurant with onsite dining,no,yes,4,0,1
N&D Nails,Personal care service,yes,yes,7,1,1
N&M Tattoo & Piercing,Personal care service,yes,yes,7,1,1
Naan-N-Curry Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Nabil's Barbershop,Personal care service,yes,yes,7,1,1
Nails By Cash,Personal care service,no,yes,7,0,1
Nails By Lyndsay,Personal care service,yes,yes,7,1,1
Nala's Bakery and Deli,Small retail,no,yes,2,0,1
Namaste Spiritual Studio,Fitness establishment,yes,no,0,1,0
Nani's Esthetics & Laser Center,Personal care service,no,yes,7,0,1
Narrow Espresso,Restaurant with onsite dining,no,yes,4,0,1
Naru Sushi,Restaurant with onsite dining,yes,yes,4,1,1
National Jewellery,Small retail,no,yes,2,0,1
Natural Hound's Spa & Boutique,Personal care service,yes,no,7,1,0
Nature Folk Wellness Studio,Personal care service,yes,yes,7,1,1
Naturelle Esthetics,Personal care service,yes,yes,7,1,1
Naughty Paw,Small retail,no,yes,2,0,1
Nautilus Aquatics and Hobbies,Small retail,no,yes,2,0,1
Nayya Pizza & Grill,Restaurant with onsite dining,yes,yes,4,1,1
Neighbourhood Witch General Store,Small retail,no,yes,2,0,1
Nepsis Floatation,Self-regulated health professional,yes,yes,6,1,1
Neuromuscular Treatment Centre,Self-regulated health professional,yes,yes,6,1,1
New Asia Chinese Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
New Beginnings Health & Fitness,Fitness establishment,yes,yes,0,1,1
New Century Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
New Germany Enviro Center,Personal care service,yes,yes,7,1,1
New Glasgow City Club,Drinking establishment,yes,yes,1,1,1
New King Wah Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
New Leaf Caf̩ & Catering,Restaurant with onsite dining,yes,yes,4,1,1
New Moon Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
New Orleans Pizza,Restaurant with onsite dining,no,yes,4,0,1
New Outlook Spa,Personal care service,yes,yes,7,1,1
New Vision Optometric Consulting,Self-regulated health professional,yes,yes,6,1,1
New York Fries,Restaurant with onsite dining,yes,yes,4,1,1
New York Fries,Restaurant with onsite dining,yes,yes,4,1,1
Newport & Districk Rink Commission,Charity,yes,yes,7,1,1
Newsbreak Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Niche Lounge,Restaurant with onsite dining,yes,yes,4,1,1
Nicole's Mobile Spa,Personal care service,yes,yes,7,1,1
Nigeria Family Helper Program,Charity,yes,no,7,1,0
Nikki's Acupuncture and Beauty Clinic,Self-regulated health professional,yes,yes,6,1,1
Nikki's Classy Cuts Hairstyling,Personal care service,no,yes,7,0,1
Ninth Gate Gallery,Personal care service,yes,yes,7,1,1
NLG Design Suite,Personal care service,yes,yes,7,1,1
No Quarter Deli & Market,Restaurant with onsite dining,yes,yes,4,1,1
Noodle Nami,Restaurant with onsite dining,yes,yes,4,1,1
Nora's New To You: (Re) Find,Small retail,no,yes,2,0,1
Norbert's Good Food,Restaurant with onsite dining,yes,yes,4,1,1
Nordic Walking Nova Scotia,Fitness establishment,yes,yes,0,1,1
Noreast Barber,Personal care service,yes,yes,7,1,1
"Norse Cove Cafe, Camping and Supply",Restaurant with onsite dining,yes,yes,4,1,1
North End Massage Therapy,Self-regulated health professional,no,yes,6,0,1
North Mountain Fine Coffees,Restaurant with onsite dining,yes,yes,4,1,1
North Ship Harbour Community Hall Auxiliary,Personal care service,no,yes,7,0,1
Northeast Hearing Healthcare,Self-regulated health professional,yes,yes,6,1,1
Northside At Home Care Services,Personal care service,yes,no,7,1,0
Northumberland Golf Club,Restaurant with onsite dining,no,yes,4,0,1
Nourish,Self-regulated health professional,yes,yes,6,1,1
Nours Caf̩ & Grill,Restaurant with onsite dining,no,yes,4,0,1
Nouvelle Coiffure,Personal care service,no,yes,7,0,1
Nova Chique Salon Boutique,Personal care service,yes,yes,7,1,1
Nova Dogsport Inc,Small retail,no,yes,2,0,1
Nova Fitness,Fitness establishment,yes,yes,0,1,1
Nova Functional Assessments,Self-regulated health professional,yes,yes,6,1,1
Nova Hair,Personal care service,yes,no,7,1,0
Nova Lenses,Personal care service,yes,no,7,1,0
Nova Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Nova Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Nova Scotia Interpreting Services Society,Personal care service,yes,no,7,1,0
Nova Scotia Summer Fest,"Live, performing arts for audience",yes,no,3,1,0
Nova Spinal Care,Self-regulated health professional,yes,yes,6,1,1
Nova United Martial Arts,Fitness establishment,yes,yes,0,1,1
Nova Voce Male Choral Society,"Live, performing arts for audience",no,yes,3,0,1
NovelTea Bookstore Cafe,Restaurant with onsite dining,yes,yes,4,1,1
NOVIDENT Dental Laboratory,Self-regulated health professional,yes,yes,6,1,1
Now We're Cookin'!,Restaurant with onsite dining,yes,no,4,1,0
Nurtured Salon and Spa,Personal care service,yes,yes,7,1,1
Oak Hall Ltd.,Small retail,no,yes,2,0,1
Oakhill & District Fire Department,Charity,yes,yes,7,1,1
Oasis Pub & Eatery,Drinking establishment,yes,yes,1,1,1
Obladee Wine Bar,Restaurant with onsite dining,yes,yes,4,1,1
Ocean Blue Music,"Live, performing arts for audience",no,yes,3,0,1
Ocean Optometry,Self-regulated health professional,yes,yes,6,1,1
Ocean Treasures,Restaurant with onsite dining,yes,yes,4,1,1
Oceanic Art,Personal care service,yes,yes,7,1,1
Oceanlanes Bowling and Sports Bar,Drinking establishment,yes,yes,1,1,1
Oceans 13 Hair Studio,Personal care service,yes,yes,7,1,1
Oceanside Chiropractic Clinic,Self-regulated health professional,yes,yes,6,1,1
Oddfellows Barbershop,Personal care service,yes,yes,7,1,1
Odell's Gluten Free Bakery & Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Odette's Hair Design,Personal care service,yes,yes,7,1,1
Off Track Brewing,Drinking establishment,no,yes,1,0,1
Oh My Cod,Restaurant with onsite dining,yes,yes,4,1,1
Oh My Sole! Footwear and Orthotics,Self-regulated health professional,yes,yes,6,1,1
Old Orchard Inn,Restaurant with onsite dining,yes,yes,4,1,1
Old Port Pub & Grill,Drinking establishment,yes,yes,1,1,1
Old Road BBQ,Restaurant with onsite dining,yes,yes,4,1,1
Olena Esthetics,Personal care service,no,yes,7,0,1
Olive Street Entertainment,"Live, performing arts for audience",no,yes,3,0,1
Oliver's Coffees,Restaurant with onsite dining,yes,yes,4,1,1
Olivia Fraser Hair,Personal care service,yes,yes,7,1,1
Olympic Taekwondo Society,Fitness establishment,yes,yes,0,1,1
On The Mat Yoga,Fitness establishment,yes,yes,0,1,1
On The Wedge Pizza/Presto Pastaworks,Restaurant with onsite dining,yes,yes,4,1,1
On Track Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
One Block Barbershop,Personal care service,yes,yes,7,1,1
One Day Affair Wedding Decor,Small retail,no,yes,2,0,1
One Last Rep Sports Training,Fitness establishment,no,yes,0,0,1
One of a Kind Furniture Decore & More,Small retail,no,yes,2,0,1
One Stop Entertainment,"Live, performing arts for audience",yes,yes,3,1,1
One to One Wellness Centre,Self-regulated health professional,yes,yes,6,1,1
OneUp Fitness,Fitness establishment,yes,yes,0,1,1
OnSide Performance Centre,Fitness establishment,yes,yes,0,1,1
Open Book Coffee,Restaurant with onsite dining,yes,yes,4,1,1
Orangetheory Fitness,Fitness establishment,yes,yes,0,1,1
Organize Anything,"Live, performing arts for audience",no,yes,3,0,1
ORSO Pub and Grill,Restaurant with onsite dining,yes,yes,4,1,1
Osheplin,Self-regulated health professional,yes,yes,6,1,1
Osprey Angels Home Care Services,Personal care service,yes,yes,7,1,1
Osprey Arts Centre,"Live, performing arts for audience",yes,yes,3,1,1
Osprey Athletics,Fitness establishment,yes,yes,0,1,1
Osprey's Nest Public House,Restaurant with onsite dining,yes,yes,4,1,1
Osteopathic Clinic,Personal care service,yes,yes,7,1,1
OT Health,Self-regulated health professional,yes,yes,6,1,1
Otis & Clementine's Books & Coffee,Restaurant with onsite dining,yes,yes,4,1,1
Otium Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Ottoto's Custom Menswear Limited,Small retail,no,yes,2,0,1
Our Backyard BBQ,Restaurant with onsite dining,yes,no,4,1,0
Outdoor Focus,Fitness establishment,yes,yes,0,1,1
Outside Edge Elite Training,Fitness establishment,yes,yes,0,1,1
Overzet Wellness Center,Self-regulated health professional,yes,yes,6,1,1
Owls Ridge Farm,Fitness establishment,yes,yes,0,1,1
Oxygen Yoga and Fitness,Fitness establishment,yes,yes,0,1,1
P.F. Consignment,Small retail,no,yes,2,0,1
P3 Hair and Beauty Supplies,Personal care service,yes,yes,7,1,1
PA Catering,Small retail,no,yes,2,0,1
Paddy's Pub / Rosie's Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Pain Resolution Centre,Self-regulated health professional,yes,yes,6,1,1
Paint it Pretty Hair & Nails,Personal care service,yes,yes,7,1,1
Pajo's Bowling Alley,Fitness establishment,yes,yes,0,1,1
Palladium Family Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Panda Buffet,Restaurant with onsite dining,yes,yes,4,1,1
Panda Print Shop,Small retail,no,yes,2,0,1
Papa Mario's Pizza,Restaurant with onsite dining,yes,yes,4,1,1
Papas Pub & Eatery,Restaurant with onsite dining,yes,yes,4,1,1
Paragon Golf & Country Club,Restaurant with onsite dining,no,yes,4,0,1
Park & Kim,Restaurant with onsite dining,yes,yes,4,1,1
Park West Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Park West Physiotherapy and Sports Injury Clinic,Self-regulated health professional,yes,yes,6,1,1
Park West Physiotherapy and Sports Injury Clinic,Self-regulated health professional,yes,yes,6,1,1
Parkside Pub and Smokehouse,Restaurant with onsite dining,yes,yes,4,1,1
Parkview Family Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Parkview Styles Salon,Personal care service,yes,yes,7,1,1
Party On People Entertainment Solutions,"Live, performing arts for audience",yes,yes,3,1,1
Pascalice's Bistro,Restaurant with onsite dining,yes,yes,4,1,1
Patron's Bar & Grill,Restaurant with onsite dining,yes,yes,4,1,1
Patti's Hair Salon,Personal care service,yes,yes,7,1,1
Pavia,Restaurant with onsite dining,yes,yes,4,1,1
Pavia,Restaurant with onsite dining,no,yes,4,0,1
Pavilion Hair Salon & Spa,Personal care service,yes,yes,7,1,1
Peak Energy Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Peak Performance Therapy,Self-regulated health professional,no,yes,6,0,1
Peasant's Pantry,Restaurant with onsite dining,yes,no,4,1,0
Peep Toe Esthetics,Personal care service,yes,yes,7,1,1
Peggy's Cove Replicas,Small retail,no,yes,2,0,1
Peking Restaurant,Restaurant with onsite dining,yes,no,4,1,0
Penelopes Boutique,Small retail,no,yes,2,0,1
Perky Owl Coffee,Restaurant with onsite dining,no,yes,4,0,1
Perry's Gym,Fitness establishment,yes,yes,0,1,1
Personal Care Physio and Osteo,Self-regulated health professional,yes,yes,6,1,1
Personal Image Hair Studio,Personal care service,yes,yes,7,1,1
Petite Riviere Vineyards,Drinking establishment,yes,yes,1,1,1
Petite Urban Pooch,Personal care service,yes,yes,7,1,1
Petpeswick Yacht Club,Fitness establishment,no,yes,0,0,1
PG Caf̩ & Grill,Restaurant with onsite dining,yes,yes,4,1,1
Phalanges Nail Salon,Personal care service,yes,yes,7,1,1
Phase 2 Performance,Fitness establishment,yes,yes,0,1,1
Phil's Seafood,Restaurant with onsite dining,yes,yes,4,1,1
Physio Frontiers,Self-regulated health professional,yes,yes,6,1,1
Physio One Health Clinic,Self-regulated health professional,yes,yes,6,1,1
Physiodirect,Self-regulated health professional,yes,yes,6,1,1
PhysioLink Porters Lake Inc,Self-regulated health professional,yes,yes,6,1,1
PhysioMatters Health Centre,Fitness establishment,yes,yes,0,1,1
Physiotherapy Dynamics,Self-regulated health professional,yes,yes,6,1,1
Physiotherapy Function,Self-regulated health professional,yes,yes,6,1,1
Piatto Pizzeria + Enoteca,Restaurant with onsite dining,yes,yes,4,1,1
Picasso Pizza,Restaurant with onsite dining,yes,no,4,1,0
Pickford & Black Seafood House & Oyster Bar,Restaurant with onsite dining,yes,no,4,1,0
Pictou County Home Appliance Service,Personal care service,yes,yes,7,1,1
Pictou County Yoga & Fitness,Fitness establishment,yes,yes,0,1,1
Pictou Lodge Beach Resort,Restaurant with onsite dining,no,yes,4,0,1
Pictou Lodge Resort,Restaurant with onsite dining,yes,yes,4,1,1
Picture Perfect Framing/Art Gallery,Small retail,no,yes,2,0,1
Piece of Cake Fine Bakery and Cafe,Restaurant with onsite dining,no,yes,4,0,1
Pier One Chiropractic & Massage,Self-regulated health professional,yes,yes,6,1,1
Pillars of Health,Self-regulated health professional,yes,yes,6,1,1
Pillars of Health,Self-regulated health professional,yes,no,6,1,0
Pilots' Pub,Restaurant with onsite dining,yes,yes,4,1,1
Pine House,Restaurant with onsite dining,yes,yes,4,1,1
Pinehill Equestrian Centre,Fitness establishment,yes,yes,0,1,1
Pineo DJ Service,"Live, performing arts for audience",yes,yes,3,1,1
Pino's Hair Studio,Personal care service,yes,yes,7,1,1
Pipers Pub,Restaurant with onsite dining,yes,yes,4,1,1
Pita Pit,Restaurant with onsite dining,yes,no,4,1,0
Pita Pit,Restaurant with onsite dining,yes,yes,4,1,1
Pita Pit,Restaurant with onsite dining,yes,yes,4,1,1
Pita Pit,Restaurant with onsite dining,yes,yes,4,1,1
Pita Pit,Restaurant with onsite dining,yes,no,4,1,0
Pizza Delight,Restaurant with onsite dining,yes,no,4,1,0
Pizza Delight,Restaurant with onsite dining,yes,yes,4,1,1
Pizza Delight,Restaurant with onsite dining,yes,yes,4,1,1
Pizza Delight,Restaurant with onsite dining,yes,yes,4,1,1
Pizza Delight,Restaurant with onsite dining,yes,yes,4,1,1
Pizza Delight,Restaurant with onsite dining,yes,yes,4,1,1
Pizza Delight,Restaurant with onsite dining,yes,yes,4,1,1
Pizza Delight,Restaurant with onsite dining,yes,no,4,1,0
Pizza Delight,Restaurant with onsite dining,yes,yes,4,1,1
Pizza Delight Elmsdale,Restaurant with onsite dining,yes,yes,4,1,1
Pizza Delight Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Pizza Girls & Katch,Restaurant with onsite dining,yes,yes,4,1,1
Pizza Girls & Katch Scotia Square,Restaurant with onsite dining,yes,yes,4,1,1
Pizza Girls and Katch Sea Food,Restaurant with onsite dining,yes,yes,4,1,1
Pizza Girls Bedford,Restaurant with onsite dining,yes,yes,4,1,1
Pizza Girls/Katch,Restaurant with onsite dining,yes,yes,4,1,1
Pizza Pizza,Restaurant with onsite dining,yes,no,4,1,0
Pizza Time Donairs,Restaurant with onsite dining,yes,yes,4,1,1
Pizzaton,Restaurant with onsite dining,yes,yes,4,1,1
Pizzatown,Restaurant with onsite dining,yes,yes,4,1,1
Pizzatown,Restaurant with onsite dining,yes,yes,4,1,1
Pizzatown Burnside,Restaurant with onsite dining,yes,yes,4,1,1
Place for Hair,Personal care service,no,yes,7,0,1
Plan A Dance Centre,Fitness establishment,yes,yes,0,1,1
Planet Beach Contempo Spa,Personal care service,yes,yes,7,1,1
Planters Ridge Winery,Drinking establishment,yes,yes,1,1,1
Platinum Fitness,Fitness establishment,yes,yes,0,1,1
Platinum Fitness,Fitness establishment,yes,yes,0,1,1
Platinum Fitness,Fitness establishment,yes,yes,0,1,1
Platinum Physiotherapy and Rehabilitation Group,Self-regulated health professional,yes,yes,6,1,1
Platypus Medical Exercise Therapy,Fitness establishment,no,yes,0,0,1
Playami MultiSport Programs,Fitness establishment,yes,yes,0,1,1
Pleasant Street Diner,Restaurant with onsite dining,yes,yes,4,1,1
Plush Esthetic Studio,Personal care service,no,yes,7,0,1
PMacs Fitness and Training Centre,Fitness establishment,yes,no,0,1,0
PN Nails,Personal care service,yes,no,7,1,0
Pomodoro Pizzeria,Restaurant with onsite dining,yes,yes,4,1,1
Port Cities Music,"Live, performing arts for audience",yes,no,3,1,0
Port City Coffee,Restaurant with onsite dining,yes,yes,4,1,1
Porter's Pub,Restaurant with onsite dining,no,yes,4,0,1
Portland Street Creperie,Restaurant with onsite dining,yes,yes,4,1,1
POSH!,Small retail,no,yes,2,0,1
Positive Action for the Keppoch Society,Charity,yes,yes,7,1,1
Premier Floorball,Fitness establishment,yes,yes,0,1,1
Premiere Entertainment Group,"Live, performing arts for audience",yes,yes,3,1,1
Premium Healthcare Solutions,Self-regulated health professional,yes,yes,6,1,1
Prestige Hair Design,Personal care service,yes,yes,7,1,1
Pretzelmaker/Mrs. Fields,Restaurant with onsite dining,no,yes,4,0,1
Primal Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Princess Nails,Personal care service,yes,yes,7,1,1
Princess Nails,Personal care service,yes,yes,7,1,1
Princess Nails,Personal care service,yes,yes,7,1,1
PROactive Health & Performance Centre,Self-regulated health professional,yes,yes,6,1,1
PROactive Health & Performance Centre,Self-regulated health professional,yes,yes,6,1,1
ProEdge Elite Training,Fitness establishment,yes,yes,0,1,1
Professional Audiology Services Inc.,Self-regulated health professional,yes,yes,6,1,1
PROTx Services,Self-regulated health professional,yes,yes,6,1,1
Provincial Hearing,Self-regulated health professional,yes,yes,6,1,1
Provincial Hearing Aid Service,Self-regulated health professional,yes,yes,6,1,1
Provincial Hearing Aid Service,Self-regulated health professional,yes,yes,6,1,1
Pur & Simple,Restaurant with onsite dining,yes,yes,4,1,1
Pure Bliss Salon & Spa,Personal care service,yes,yes,7,1,1
Pure Hair Design Studio Inc,Personal care service,yes,yes,7,1,1
Purple Door Productions,"Live, performing arts for audience",yes,yes,3,1,1
