NS Small Business,Type of Business,Received Small Business Impact Grant,Received Small Business Reopening and Support Grant,num,Impact Grant,Reopening and Support Grant
Barre Fragrance and Skin Care,Personal care service,yes,yes,7,1,1
Barrelling Tide Distillery,Drinking establishment,yes,yes,1,1,1
Barykin Bistro,Restaurant with onsite dining,yes,yes,4,1,1
Basha Halifax restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Basil Audio Visual,"Live, performing arts for audience",yes,yes,3,1,1
Basin View Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Basinview Dental Centre,Self-regulated health professional,no,yes,6,0,1
Baton Rouge Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Battery Park Beer Bar & Eatery,Restaurant with onsite dining,yes,yes,4,1,1
Bay Optometry,Self-regulated health professional,yes,yes,6,1,1
Bayside Drive In,Restaurant with onsite dining,yes,no,4,1,0
Bayside Furniture & Cabinetry,Small retail,no,yes,2,0,1
Bayview Chiropractic,Self-regulated health professional,no,yes,6,0,1
Bayview Optical,Self-regulated health professional,no,yes,6,0,1
Beach Pea Kitchen & Bar,Restaurant with onsite dining,no,yes,4,0,1
Beachfire Music Inc.,"Live, performing arts for audience",yes,yes,3,1,1
Beachstone Orthotics,Self-regulated health professional,yes,yes,6,1,1
